Team_A,Team_B,Probability
Algeria,Bosnia and Herzegovina,0.00246
Ghana,Norway,0.00246
Belgium,Egypt,0.0024500000000000632
Australia,Cape Verde,0.00244
Portugal,Uzbekistan,0.0024399999999999977
Iran,Morocco,0.00243
Netherlands,Uzbekistan,0.0024
Jordan,Netherlands,0.00239
Curaçao,Germany,0.002389999999999892
Iraq,Norway,0.0023699999999999832
France,Ghana,0.00229
Austria,Morocco,0.00226
Algeria,Ivory Coast,0.00225
Curaçao,Ecuador,0.0022400000000000198
Algeria,Ghana,0.00221
Paraguay,South Africa,0.00221
Curaçao,Sweden,0.0022
Portugal,South Africa,0.00219
Colombia,DR Congo,0.0021899999999999142
Austria,Qatar,0.00217
Ghana,Switzerland,0.00217
Morocco,United States,0.00217
Austria,Jordan,0.0021500000000000963
Australia,Panama,0.00215
Panama,United States,0.00215
South Africa,United States,0.00215
Argentina,Bosnia and Herzegovina,0.00214
Australia,Morocco,0.00214
Japan,Saudi Arabia,0.00214
Cape Verde,Senegal,0.00213
Curaçao,Qatar,0.00212
Egypt,Uzbekistan,0.00212
Bosnia and Herzegovina,Iraq,0.0021
Ghana,South Korea,0.0021
Algeria,Austria,0.0020999999999999908
Cape Verde,South Africa,0.00204
Algeria,Morocco,0.00203
Paraguay,Scotland,0.00203
Croatia,New Zealand,0.00202
Czech Republic,DR Congo,0.00202
Brazil,Egypt,0.00197
Haiti,Spain,0.00197
Ghana,Saudi Arabia,0.00194
New Zealand,Tunisia,0.00193
Australia,South Africa,0.0019
Austria,Scotland,0.0019
Austria,Tunisia,0.0019
Egypt,Tunisia,0.0019
Algeria,Qatar,0.00189
Ghana,Jordan,0.00185
Saudi Arabia,Switzerland,0.00185
Jordan,Qatar,0.00184
Belgium,New Zealand,0.0018199999999999328
Egypt,Panama,0.0018
Czech Republic,Ghana,0.00178
Morocco,Uzbekistan,0.00178
DR Congo,South Korea,0.00177
Brazil,Cape Verde,0.00176
New Zealand,Uzbekistan,0.00176
Scotland,United States,0.00171
Belgium,Ghana,0.0017
Jordan,Senegal,0.0017
Tunisia,Uzbekistan,0.00169
Austria,Sweden,0.00168
DR Congo,Iraq,0.00168
Iran,Scotland,0.00168
Australia,Scotland,0.00166
Saudi Arabia,Uruguay,0.0016599999999999948
Algeria,Scotland,0.00165
Algeria,Tunisia,0.00165
Brazil,Ghana,0.00162
DR Congo,Japan,0.00162
Curaçao,DR Congo,0.0016
Curaçao,Uruguay,0.0016
Haiti,Panama,0.00155
Colombia,Haiti,0.00153
Iraq,Qatar,0.00153
New Zealand,Sweden,0.00153
Cape Verde,Netherlands,0.00152
Brazil,New Zealand,0.0015
Croatia,Haiti,0.0015
Bosnia and Herzegovina,England,0.00149
Argentina,Qatar,0.00148
DR Congo,Portugal,0.0014600000000000168
Bosnia and Herzegovina,Uruguay,0.00146
Ivory Coast,Jordan,0.00146
Sweden,Uzbekistan,0.00146
Egypt,Morocco,0.00145
Egypt,Sweden,0.00144
Canada,Saudi Arabia,0.00143
Curaçao,Ghana,0.00143
Jordan,Morocco,0.00143
Jordan,Tunisia,0.00141
DR Congo,Netherlands,0.00139
Ivory Coast,Saudi Arabia,0.00139
Belgium,Haiti,0.00136
DR Congo,Iran,0.00134
Cape Verde,Japan,0.00132
Jordan,Scotland,0.00132
Algeria,Jordan,0.0012900000000000134
Cape Verde,Switzerland,0.00129
Morocco,Saudi Arabia,0.00128
Croatia,Panama,0.0012799999999999478
Mexico,South Korea,0.0012700000000001044
Cape Verde,Ghana,0.00124
Cape Verde,Uruguay,0.0012300000000000644
Algeria,Sweden,0.00123
Morocco,New Zealand,0.00123
Saudi Arabia,Uzbekistan,0.00122
Czech Republic,Mexico,0.0012199999999999989
DR Congo,Morocco,0.00121
Canada,Ghana,0.0012
New Zealand,Panama,0.0012
Ghana,Iraq,0.00119
Haiti,Iraq,0.00119
Czech Republic,South Korea,0.0011699999999998933
Scotland,Uzbekistan,0.00115
Iraq,Saudi Arabia,0.00111
Haiti,Portugal,0.00109
Jordan,Sweden,0.00106
DR Congo,Egypt,0.00104
Austria,South Africa,0.00102
Canada,Switzerland,0.0010099999999999554
